system:index,0_NBR_delta_lag4,0_NBR_lag4,0_NDMI_delta_lag4,0_NDMI_lag4,0_NDVI_delta_lag4,0_NDVI_lag4,0_SR_B4_delta_lag4,0_SR_B4_lag4,0_SR_B5_delta_lag4,0_SR_B5_lag4,0_SR_B6_delta_lag4,0_SR_B6_lag4,0_SR_B7_delta_lag4,0_SR_B7_lag4,1_NBR_delta_lag3,1_NBR_lag3,1_NDMI_delta_lag3,1_NDMI_lag3,1_NDVI_delta_lag3,1_NDVI_lag3,1_SR_B4_delta_lag3,1_SR_B4_lag3,1_SR_B5_delta_lag3,1_SR_B5_lag3,1_SR_B6_delta_lag3,1_SR_B6_lag3,1_SR_B7_delta_lag3,1_SR_B7_lag3,2_NBR_delta_lag2,2_NBR_lag2,2_NDMI_delta_lag2,2_NDMI_lag2,2_NDVI_delta_lag2,2_NDVI_lag2,2_SR_B4_delta_lag2,2_SR_B4_lag2,2_SR_B5_delta_lag2,2_SR_B5_lag2,2_SR_B6_delta_lag2,2_SR_B6_lag2,2_SR_B7_delta_lag2,2_SR_B7_lag2,3_NBR_delta_lag1,3_NBR_lag1,3_NDMI_delta_lag1,3_NDMI_lag1,3_NDVI_delta_lag1,3_NDVI_lag1,3_SR_B4_delta_lag1,3_SR_B4_lag1,3_SR_B5_delta_lag1,3_SR_B5_lag1,3_SR_B6_delta_lag1,3_SR_B6_lag1,3_SR_B7_delta_lag1,3_SR_B7_lag1,4_NBR_lag0,4_NDMI_lag0,4_NDVI_lag0,4_SR_B4_lag0,4_SR_B5_lag0,4_SR_B6_lag0,4_SR_B7_lag0,class,latitude,longitude,.geo
1_3000_0,0.031337705,0.34548718,0.05202032,0.21145147,0.024032148,0.39531076,-1099.5,8124.0,-1371.0,18746.0,-2382.5,12202.0,-1380.0,9119.0,0.03162577,0.34577525,0.052074883,0.21150602,0.029633895,0.4009125,-1082.5,8141.0,-1080.0,19037.0,-2194.5,12390.0,-1244.5,9254.5,0.046372276,0.36052173,0.06476803,0.22419918,0.044982232,0.41626084,-1162.5,8061.0,-559.5,19557.5,-2190.5,12394.0,-1306.5,9192.5,0.033075638,0.3472251,0.04577474,0.20520589,0.032458834,0.40373746,-943.5,8280.0,-624.0,19493.0,-1729.5,12855.0,-1054.0,9445.0,0.31414947,0.15943114,0.3712786,9223.5,20117.0,14584.5,10499.0,1,-7.549756058089901,-55.674482121997734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3001_0,0.045811493,0.3570787,0.03234304,0.21229516,0.038938124,0.4141916,-259.5,8136.0,1160.0,19641.0,-82.0,12762.0,-402.0,9305.0,0.027740084,0.3390073,0.015712246,0.19566436,0.021791434,0.3970449,-111.5,8284.0,713.0,19194.0,68.0,12912.0,-232.0,9475.0,0.018147105,0.3294143,0.01484887,0.19480099,0.012623032,0.3878765,-266.5,8129.0,-50.0,18431.0,-423.0,12421.0,-410.0,9297.0,0.02609314,0.33736035,0.020988746,0.20094086,0.015382238,0.3906357,-173.5,8222.0,282.5,18763.5,-359.5,12484.5,-410.0,9297.0,0.3112672,0.17995211,0.37525347,8395.5,18481.0,12844.0,9707.0,1,-10.60016526837456,-57.952789345581664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3002_0,0.14396544,0.34914964,0.11902014,0.20808804,0.1125715,0.39176586,-1233.0,8251.0,2049.0,18880.0,-1702.0,12376.0,-1992.0,9108.0,0.12124122,0.32642543,0.1010113,0.19007921,0.09682783,0.3760222,-1052.5,8431.5,1762.5,18593.5,-1424.0,12654.0,-1658.0,9442.0,0.12831281,0.33349702,0.10627873,0.19534664,0.10948955,0.38868394,-1116.0,8368.0,2178.0,19009.0,-1282.0,12796.0,-1599.0,9501.0,0.12930577,0.33448997,0.10854259,0.1976105,0.108610325,0.3878047,-1171.0,8313.0,2014.0,18845.0,-1452.0,12626.0,-1702.0,9398.0,0.2051842,0.089067906,0.27919438,9484.0,16831.0,14078.0,11100.0,1,-7.864256239060146,-61.16732075827496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3003_0,0.096577495,0.34322158,0.119379796,0.2111093,0.0697427,0.39682123,-1297.5,8026.5,199.5,18587.5,-3190.5,12107.5,-2023.5,9088.5,0.09135796,0.33800203,0.1033852,0.1951147,0.07314134,0.40021986,-1140.0,8184.0,718.0,19106.0,-2430.5,12867.5,-1659.0,9453.0,0.10583681,0.3524809,0.12371275,0.21544226,0.07506036,0.4021389,-1162.0,8162.0,754.0,19142.0,-2942.0,12356.0,-1947.5,9164.5,0.08080216,0.32744622,0.094709516,0.18643902,0.053438347,0.38051686,-1162.0,8162.0,-199.0,18189.0,-2825.5,12472.5,-1896.5,9215.5,0.24664406,0.0917295,0.32707852,9324.0,18388.0,15298.0,11112.0,1,-9.014189634261545,-62.43367581429825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3004_0,0.027263338,0.28030428,0.03201968,0.13757686,-0.0028923831,0.34598655,-693.0,8382.0,-1549.5,17250.5,-2132.0,13078.0,-1510.0,9697.0,0.06594371,0.31898466,0.0773804,0.18293758,0.027812578,0.3766915,-876.0,8199.0,-691.0,18109.0,-2702.0,12508.0,-1857.0,9350.0,0.078571774,0.33161274,0.07213215,0.17768934,0.056288674,0.4051676,-557.0,8518.0,1322.0,20122.0,-1160.0,14050.0,-1107.0,10100.0,0.09595391,0.34899485,0.08709628,0.19265348,0.059283625,0.40816256,-628.0,8447.0,1298.0,20098.0,-1605.0,13605.0,-1508.0,9699.0,0.25304097,0.10555719,0.34887892,9075.0,18800.0,15210.0,11207.0,1,2.121326627684044,-61.3276700364903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3005_0,-0.03338598,0.37046137,-0.010368343,0.23315062,-0.03243635,0.4211263,-276.0,8064.0,-2388.0,19797.0,-1185.0,12311.0,-327.0,9094.0,-0.060757466,0.3430899,-0.008179973,0.23533899,-0.06586104,0.3877016,771.0,9111.0,-1536.0,20649.0,-714.5,12781.5,678.5,10099.5,-0.018417366,0.38543,0.005100859,0.24861982,-0.026498629,0.42706403,-304.0,8036.0,-2169.0,20016.0,-1451.0,12045.0,-542.0,8879.0,-0.0058581685,0.3979892,0.012588166,0.25610712,-0.010556781,0.44300586,6.0,8346.0,-563.0,21622.0,-691.0,12805.0,-110.0,9311.0,0.40384737,0.24351896,0.45356265,8340.0,22185.0,13496.0,9421.0,1,-12.667997220889287,-71.27983557466524,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3006_0,0.0027991438,0.40169388,0.0028946789,0.25555792,0.006718307,0.45880207,-120.0,8166.0,52.0,22011.5,-50.0,13051.0,-40.5,9395.5,-0.01042017,0.38847458,-0.0016670058,0.25099626,-0.011762281,0.4403215,70.0,8356.0,-455.5,21504.0,-226.0,12875.0,35.0,9471.0,0.005925842,0.4048206,0.007942807,0.26060605,0.0028474305,0.4549312,-65.0,8221.0,-15.5,21944.0,-230.0,12871.0,-139.0,9297.0,0.011372847,0.4102676,0.014455913,0.26711917,0.011008456,0.46309224,20.5,8306.5,676.0,22635.5,-9.0,13092.0,29.5,9465.5,0.39889476,0.25266325,0.45208377,8286.0,21959.5,13101.0,9436.0,1,-14.212740183461216,-62.34716805243754,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3007_0,0.15240428,0.29459485,0.12377665,0.12672666,0.13374564,0.39927262,-1611.5,9043.5,2706.0,21065.0,-1924.5,16326.5,-2310.0,11478.0,0.15160012,0.2937907,0.12850879,0.1314588,0.13275714,0.39828414,-1590.0,9065.0,2706.5,21065.5,-2080.5,16170.5,-2289.5,11498.5,0.18090351,0.32309407,0.13856371,0.14151372,0.15622792,0.4217549,-1966.0,8689.0,3005.0,21364.0,-2184.0,16067.0,-2858.0,10930.0,0.16798495,0.3101755,0.13811615,0.14106616,0.12625064,0.39177763,-1268.0,9387.0,3121.0,21480.0,-2082.0,16169.0,-2478.5,11309.5,0.14219056,0.0029500136,0.26552698,10655.0,18359.0,18251.0,13788.0,1,-4.98659305791167,-50.99066623059855,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3008_0,0.05519525,0.35624734,0.061170287,0.2122462,0.04556059,0.4212014,-1177.5,8139.5,-542.0,19986.0,-2152.0,12987.5,-1541.5,9486.5,0.038160488,0.3392126,0.03936,0.19043592,0.026219703,0.4018605,-910.0,8407.0,-824.5,19703.5,-1740.0,13399.5,-1306.0,9722.0,0.035221,0.3362731,0.036868464,0.18794437,0.024756301,0.40039712,-786.0,8531.0,-603.5,19924.5,-1519.5,13620.0,-1131.5,9896.5,0.033598486,0.33465058,0.036707524,0.18778343,0.023719516,0.39936033,-1054.0,8263.0,-1277.0,19251.0,-1975.5,13164.0,-1431.0,9597.0,0.3010521,0.15107591,0.3756408,9317.0,20528.0,15139.5,11028.0,1,-10.66457447424593,-62.63040686152043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3009_0,-0.0074415808,0.36242282,-0.010765122,0.21379183,-0.0072894213,0.41600344,-72.5,8145.0,-531.5,19749.0,-50.5,12792.0,-87.0,9242.0,0.012226264,0.38209066,0.030334141,0.2548911,0.005548977,0.42884183,-70.5,8147.0,100.5,20381.0,-741.0,12101.5,-217.0,9112.0,-0.030059978,0.3398044,-0.01731284,0.20724411,-0.030099362,0.3931935,-131.5,8086.0,-1715.5,18565.0,-651.5,12191.0,-181.0,9148.0,0.001561264,0.37142566,0.011219625,0.23577657,0.002408887,0.42570174,-69.5,8148.0,-53.0,20227.5,-333.5,12509.0,-58.0,9271.0,0.3698644,0.22455695,0.42329288,8217.5,20280.5,12842.5,9329.0,1,-15.227387296874216,-66.54023430412224,"{""type"":""MultiPoint"",""coordinates"":[]}"
